role1	role2	genomes
Ribonuclease P protein component 1 (EC 3.1.26.5)	SSU ribosomal protein S11e (S17p)	415426.13,406327.12,64091.14,349307.15,436308.17,272844.11,374847.13,1435377.6,263820.9,339860.19
Peptide chain release factor 1	Threonylcarbamoyl-AMP synthase (EC 2.7.7.87)	2183990.3,1491.958,655811.4,1294039.3,1408417.3,521095.6,796939.3,1946251.3,525909.11,2702.133,754252.34,1121911.3,266117.10,1639.4260,608534.3,1423720.4,28227.8,2069310.3,41978.26,1002870.3,1260.19,479430.3,394503.7,1391995.3,1946798.3,1946522.3,37692.4,295320.3,243273.25,679936.5
Protein serine/threonine phosphatase PrpC, regulation of stationary phase	tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192)	608534.3,938289.3,1491.958,1262806.3,28227.8,796939.3,1946798.3,1260.19,1121911.3,655811.4,679936.5,394503.7
Ferredoxin, 2Fe-2S	Iron-sulfur cluster assembly ATPase protein SufC	2183990.3,926569.3,2069310.3,1919250.3,479430.3,1123388.3,525904.6,1294039.3,1437881.3,379066.3,59196.3,525909.11,926550.5,754252.34,266117.10
Ferredoxin, 2Fe-2S	Iron-sulfur cluster assembly protein SufB	2183990.3,926569.3,2069310.3,1919250.3,479430.3,1123388.3,525904.6,1294039.3,1437881.3,379066.3,59196.3,926550.5,754252.34,266117.10
CRISPR-associated protein Cas5	CRISPR-associated protein, Csd1 family	406327.12,608534.3,926569.3,980251.5,41978.26,1408281.4,525904.6,655811.4,394503.7,126741.4,1805053.3,456827.3,1946251.3,349307.15,1947072.3,339860.19,679936.5,266117.10
2-isopropylmalate synthase (EC 2.3.3.13)	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	1121447.3,557993.3,572547.3,2597224.3,374847.13,1408281.4,263820.9,159.151,1647103.3,796939.3,203907.6,1946251.3,525909.11,272844.11,1121911.3,1241833.3,1639.4260,727.1550,926569.3,479434.6,394503.7,126741.4,2003555.3,1560006.3,397948.10,1577791.3
ABC transporter, permease protein 1 (cluster 5, nickel/peptides/opines)	Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)	1121447.3,2490941.3,247481.57,583355.3,926569.3,1408467.3,479430.3,525904.6,394503.7,1408417.3,126741.4,1805053.3,2003555.3,1946251.3,926550.5,37692.4,754252.34,1947072.3,266117.10
Competence protein F homolog, phosphoribosyltransferase domain	Protein translocase subunit SecA	1639.4260,2183990.3,126741.4,1491.958,166793.3,2069310.3,1002870.3,1946283.3,754252.34,1121911.3,266117.10
LSU ribosomal protein L19p	Ribonuclease HII (EC 3.1.26.4)	1121447.3,2183990.3,1491.958,716544.4,2023178.18,1946283.3,1408281.4,309798.4,525904.6,1609969.5,521095.6,1805053.3,379066.3,795359.3,481448.7,2702.133,754252.34,1121911.3,266117.10,813.178,608534.3,2069310.3,41978.26,1332188.3,1002870.3,1260.19,1408467.3,1079.16,479434.6,479430.3,1946269.3,394503.7,454171.5,938289.3,1391995.3,166793.3,1884905.18,1560006.3,1946798.3,926550.5,679936.5
LSU ribosomal protein L22p (L17e)	SSU ribosomal protein S19p (S15e)	1121447.3,2490941.3,1882918.15,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1391995.3,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,2601646.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,1972133.3,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,1972134.3,376620.10,295320.3,583355.3,349741.6,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
Undecaprenyl diphosphate synthase (EC 2.5.1.31)	Uridylate kinase (EC 2.7.4.22)	1121447.3,2490941.3,557993.3,1491.958,2023178.18,2597224.3,1408281.4,525904.6,1647103.3,489703.3,521095.6,1805053.3,1946934.3,379066.3,59196.3,203907.6,795359.3,1946251.3,2024841.10,428411.4,1121911.3,266117.10,1639.4260,608534.3,1423720.4,28227.8,41978.26,445932.6,1002870.3,1408467.3,479434.6,518.42,1945871.3,394503.7,454171.5,1437881.3,163164.29,938289.3,1719125.3,166793.3,59620.1701,1946798.3,926550.5,376620.10,1715285.3,679936.5
LSU ribosomal protein L29p (L35e)	SSU ribosomal protein S19p (S15e)	1121447.3,2490941.3,247481.57,2200854.3,572547.3,1970770.3,525904.6,159.151,525909.11,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,796939.3,203907.6,727.1550,2162266.3,938289.3,59620.1701,1548207.7,926550.5,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,376620.10,583355.3,349741.6,1946283.3,489703.3,379066.3,1946251.3,428411.4,481448.7,2702.133,1947072.3,813.178,1423720.4,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	1121447.3,444157.8,64091.14,926569.3,1401685.3,436308.17,374847.13,479430.3,157176.8,263820.9,1945871.3,415426.13,454171.5,126741.4,2003555.3,795359.3,272844.11,926550.5,1577791.3,679936.5
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	1121447.3,444157.8,64091.14,1882918.15,926569.3,436308.17,374847.13,210.5028,157176.8,263820.9,1945871.3,2067454.3,415426.13,126741.4,379066.3,2003555.3,795359.3,272844.11,926550.5,1577791.3,1435377.6,679936.5
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,583355.3,1737569.3,349741.6,436308.17,2597224.3,374847.13,210.5028,157176.8,525904.6,1647103.3,489703.3,1946934.3,379066.3,59196.3,203907.6,795359.3,2024841.10,1206109.5,525909.11,137778.5,481448.7,272844.11,754252.34,1241833.3,444157.8,64091.14,926569.3,1002870.3,479430.3,1123388.3,518.42,1945871.3,415426.13,1437881.3,126741.4,166793.3,1884905.18,2003555.3,1548207.7,1946522.3,926550.5,1577791.3,1435377.6,1715285.3,679936.5
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	Cysteinyl-tRNA synthetase (EC 6.1.1.16)	1121447.3,1639.4260,2605989.3,608534.3,2183990.3,445932.6,1408281.4,309798.4,1294039.3,1704307.4,1609969.5,521095.6,1884905.18,2003555.3,1121911.3,266117.10
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	1121447.3,64091.14,1882918.15,926569.3,1401685.3,436308.17,374847.13,479430.3,157176.8,263820.9,126741.4,2003555.3,795359.3,272844.11,1577791.3,1435377.6,679936.5
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,583355.3,1737569.3,349741.6,436308.17,2597224.3,374847.13,210.5028,157176.8,525904.6,1647103.3,489703.3,1946934.3,379066.3,59196.3,203907.6,795359.3,2024841.10,1206109.5,525909.11,137778.5,481448.7,754252.34,1241833.3,444157.8,64091.14,926569.3,1002870.3,1079.16,479430.3,1123388.3,518.42,1945871.3,415426.13,1437881.3,166793.3,1884905.18,2003555.3,1548207.7,1946522.3,926550.5,1577791.3,1435377.6,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1737569.3,349741.6,436308.17,2597224.3,374847.13,210.5028,157176.8,263820.9,525904.6,1647103.3,489703.3,1946934.3,379066.3,59196.3,203907.6,795359.3,2024841.10,1206109.5,525909.11,137778.5,481448.7,754252.34,1241833.3,444157.8,64091.14,926569.3,1002870.3,479430.3,1123388.3,518.42,1945871.3,415426.13,1437881.3,126741.4,166793.3,1884905.18,2003555.3,1548207.7,1946522.3,926550.5,1577791.3,1435377.6,1715285.3,679936.5
CRISPR-associated protein, Csd1 family	CRISPR-associated RecB family exonuclease Cas4	608534.3,926569.3,980251.5,1408281.4,525904.6,655811.4,394503.7,126741.4,1805053.3,349307.15,1947072.3,339860.19,679936.5,266117.10
tRNA-Thr-GGT	tRNA-Trp-CCA	1121447.3,247481.57,583355.3,2183990.3,716544.4,349741.6,210.5028,673862.3,309798.4,1432327.4,1947784.3,521095.6,59196.3,795359.3,525909.11,1306947.3,481448.7,266117.10,926569.3,445932.6,479430.3,1437881.3,1391995.3,456827.3,1946522.3,926550.5
ATP synthase epsilon chain (EC 3.6.3.14)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	1639.4260,521095.6,1391995.3,1491.958,1423720.4,2003555.3,1946522.3,479434.6,1121911.3,266117.10
LSU ribosomal protein L29p (L35e)	SSU ribosomal protein S10p (S20e)	1121447.3,2490941.3,557993.3,2183990.3,1737569.3,2200854.3,572547.3,1970770.3,210.5028,157176.8,309798.4,525904.6,159.151,36868.4,1294039.3,1408417.3,2099.43,1805053.3,59196.3,795359.3,1206109.5,525909.11,137778.5,754252.34,1121911.3,1241833.3,266117.10,1639.4260,2605989.3,608534.3,1262806.3,28227.8,926569.3,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,376620.10,1491.958,2023178.18,1946283.3,655811.4,1647103.3,1947784.3,489703.3,190304.8,379066.3,796939.3,203907.6,1946251.3,428411.4,481448.7,2702.133,1947072.3,727.1550,1423720.4,1919250.3,1946294.3,1945871.3,1437881.3,938289.3,126741.4,166793.3,456827.3,59620.1701,1548207.7,926550.5,1715285.3,243273.25,2100.35,295596.4,679936.5
Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)	Sulfate transport system permease protein CysT	1437881.3,489703.3,166793.3,203907.6,2023178.18,1548207.7,1946522.3,754252.34,518.42,525904.6
16S rRNA processing protein RimM	Signal recognition particle protein Ffh	1121447.3,557993.3,2183990.3,1491.958,572547.3,210.5028,655811.4,159.151,36868.4,1294039.3,1647103.3,1946934.3,59196.3,796939.3,1749045.3,203907.6,2024841.10,525909.11,2702.133,754252.34,1121911.3,266117.10,608534.3,1423720.4,926569.3,2069310.3,1260.19,479430.3,1123388.3,394503.7,454171.5,1437881.3,938289.3,126741.4,166793.3,2003555.3,926550.5,376620.10,295596.4,679936.5
ATPase component of general energizing module of ECF transporters	LSU ribosomal protein L36p	1491.958,1805053.3,1423720.4,1946798.3,572547.3,37692.4,295320.3,1121911.3,243273.25,309798.4,266117.10,394503.7
Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2	Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1	2490941.3,2183990.3,1737569.3,2200854.3,263820.9,309798.4,525904.6,159.151,1408417.3,521095.6,754252.34,1121911.3,1639.4260,608534.3,1262806.3,28227.8,926569.3,2069310.3,41978.26,445932.6,1260.19,479434.6,479430.3,1123388.3,394503.7,2003555.3,1577791.3,37692.4,295320.3,1491.958,1946283.3,655811.4,190304.8,796939.3,1946251.3,272844.11,2702.133,1947072.3,727.1550,1423720.4,1919250.3,1946294.3,1946269.3,938289.3,166793.3,456827.3,59620.1701,1548207.7,1946522.3,926550.5,243273.25
23S ribosomal RNA	tRNA-Ile	1639.4260,1647103.3,1423720.4,1521403.3,1560006.3,428411.4,1260.19,1972134.3,295320.3,518.42
DNA polymerase III delta prime subunit (EC 2.7.7.7)	Stage 0 sporulation protein YaaT	1639.4260,2605989.3,608534.3,1491.958,1262806.3,1260.19,2597224.3,1123388.3,1408281.4,309798.4,394503.7,1609969.5,938289.3,521095.6,796939.3,59620.1701,1946798.3,754252.34,1121911.3
GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II	Histidyl-tRNA synthetase (EC 6.1.1.21)	1639.4260,1491.958,1262806.3,1423720.4,2069310.3,394503.7,1408417.3,1884905.18,59620.1701,1946522.3,754252.34,1121911.3,679936.5,266117.10
Efflux ABC transporter, ATP-binding protein	Transcriptional regulator, AcrR family	1121447.3,1639.4260,1491.958,479434.6,479430.3,1123388.3,525904.6,394503.7,521095.6,1391995.3,2003555.3,525909.11,926550.5,266117.10
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1737569.3,2023178.18,349741.6,157176.8,525904.6,2067454.3,1647103.3,489703.3,379066.3,59196.3,203907.6,1206109.5,525909.11,481448.7,754252.34,1241833.3,926569.3,1002870.3,1079.16,479430.3,1123388.3,518.42,1945871.3,454171.5,1437881.3,166793.3,1884905.18,2003555.3,1560006.3,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1737569.3,349741.6,210.5028,157176.8,1647103.3,489703.3,1946934.3,379066.3,59196.3,203907.6,1206109.5,525909.11,137778.5,754252.34,1241833.3,926569.3,1002870.3,1079.16,479430.3,1123388.3,518.42,1945871.3,454171.5,1437881.3,166793.3,1884905.18,2003555.3,1560006.3,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1882918.15,1737569.3,2023178.18,349741.6,157176.8,525904.6,489703.3,379066.3,59196.3,1206109.5,525909.11,1241833.3,926569.3,1002870.3,1123388.3,518.42,1945871.3,1437881.3,166793.3,1884905.18,1560006.3,1548207.7,1715285.3,679936.5
Histidinol dehydrogenase (EC 1.1.1.23)	Histidinol-phosphate aminotransferase (EC 2.6.1.9)	557993.3,583355.3,1882918.15,1491.958,2200854.3,436308.17,2597224.3,525904.6,1947784.3,1749045.3,203907.6,525909.11,754252.34,1121911.3,1241833.3,1961371.3,727.1550,926569.3,2069310.3,1002870.3,479430.3,518.42,394503.7,1437881.3,126741.4,1884905.18,2003555.3,1560006.3,1946798.3,1548207.7,926550.5,1435377.6,679936.5
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	1121447.3,64091.14,1915863.3,436308.17,374847.13,479434.6,479430.3,263820.9,1945871.3,415426.13,2003555.3,795359.3,1577791.3,679936.5,266117.10
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	1121447.3,444157.8,64091.14,1915863.3,2023178.18,436308.17,374847.13,479434.6,157176.8,263820.9,1945871.3,415426.13,2003555.3,795359.3,1577791.3,1435377.6,679936.5,266117.10
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,1882918.15,1737569.3,210.5028,2030824.4,157176.8,525904.6,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1241833.3,266117.10,64091.14,926569.3,1002870.3,479434.6,479430.3,1123388.3,518.42,454171.5,163164.29,1884905.18,2003555.3,1560006.3,1577791.3,1435377.6,583355.3,1915863.3,2023178.18,349741.6,436308.17,2597224.3,374847.13,2067454.3,1647103.3,489703.3,1946934.3,379066.3,203907.6,481448.7,444157.8,1079.16,1945871.3,415426.13,1437881.3,166793.3,397948.10,1548207.7,1946522.3,926550.5,1715285.3,679936.5
3'-to-5' oligoribonuclease A, Bacillus type	Bacterial ribosome SSU maturation protein RimP	1491.958,572547.3,1260.19,2597224.3,1408281.4,309798.4,655811.4,938289.3,521095.6,456827.3,796939.3,1121911.3,266117.10
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	1121447.3,64091.14,2023178.18,436308.17,374847.13,479434.6,479430.3,263820.9,2003555.3,795359.3,1577791.3,1435377.6,679936.5,266117.10
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,1882918.15,1737569.3,210.5028,2030824.4,157176.8,525904.6,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1241833.3,266117.10,64091.14,926569.3,1002870.3,479434.6,479430.3,1123388.3,518.42,454171.5,163164.29,1884905.18,2003555.3,1560006.3,1577791.3,1435377.6,583355.3,1915863.3,2023178.18,349741.6,436308.17,2597224.3,374847.13,2067454.3,1647103.3,489703.3,1946934.3,379066.3,203907.6,481448.7,444157.8,1401685.3,1079.16,1945871.3,415426.13,1437881.3,166793.3,397948.10,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	2490941.3,557993.3,1882918.15,1737569.3,210.5028,2030824.4,157176.8,263820.9,525904.6,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1241833.3,266117.10,64091.14,926569.3,1002870.3,479434.6,479430.3,1123388.3,518.42,454171.5,163164.29,1884905.18,2003555.3,1560006.3,1577791.3,1435377.6,583355.3,1915863.3,2023178.18,349741.6,436308.17,2597224.3,374847.13,2067454.3,1647103.3,489703.3,1946934.3,379066.3,203907.6,481448.7,444157.8,1945871.3,415426.13,1437881.3,166793.3,397948.10,1548207.7,1946522.3,926550.5,1715285.3,679936.5
Flagellar assembly factor FliW	Flagellar hook-associated protein FlgK	1121447.3,1491.958,2023178.18,2597224.3,479434.6,157176.8,394503.7,454171.5,126741.4,166793.3,796939.3,525909.11,679936.5
Stage 0 sporulation protein YaaT	Thymidylate kinase (EC 2.7.4.9)	1491.958,572547.3,1260.19,1946294.3,1408281.4,309798.4,655811.4,394503.7,1408417.3,1609969.5,938289.3,521095.6,796939.3,1946798.3,754252.34,1121911.3
LSU ribosomal protein L27Ae (L15p)	SSU ribosomal protein S15Ae (S8p)	415426.13,406327.12,64091.14,349307.15,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
DNA primase DnaG	RNA polymerase sigma factor RpoD	1121447.3,2490941.3,557993.3,1882918.15,980251.5,2200854.3,1970770.3,2030824.4,157176.8,309798.4,525904.6,159.151,36868.4,1408417.3,1432327.4,1704307.4,1609969.5,2099.43,521095.6,1805053.3,795359.3,2024841.10,1306947.3,2601575.3,1121911.3,1241833.3,1961371.3,1639.4260,2605989.3,1262806.3,41978.26,445932.6,1260.19,479430.3,518.42,394503.7,454171.5,2003555.3,1560006.3,1946798.3,37692.4,1972134.3,376620.10,295320.3,583355.3,1491.958,2023178.18,349741.6,1946283.3,2597224.3,673862.3,1408281.4,655811.4,1647103.3,489703.3,190304.8,1946934.3,796939.3,203907.6,1946251.3,428411.4,481448.7,727.1550,1423720.4,1332188.3,1079.16,1946294.3,1946269.3,2601646.3,1971488.3,938289.3,1719125.3,126741.4,456827.3,59620.1701,1548207.7,926550.5,166.4,1715285.3,243273.25,2100.35,295596.4,679936.5
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1882918.15,1737569.3,2023178.18,349741.6,210.5028,157176.8,2067454.3,1647103.3,489703.3,1946934.3,379066.3,59196.3,203907.6,1206109.5,525909.11,137778.5,754252.34,1241833.3,926569.3,1002870.3,1079.16,479430.3,1123388.3,518.42,1945871.3,1437881.3,166793.3,1884905.18,2003555.3,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1737569.3,349741.6,157176.8,525904.6,2067454.3,489703.3,379066.3,59196.3,203907.6,1206109.5,525909.11,754252.34,1241833.3,926569.3,1002870.3,1079.16,479430.3,1123388.3,518.42,1945871.3,1437881.3,166793.3,1884905.18,2003555.3,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,1882918.15,210.5028,157176.8,263820.9,525904.6,59196.3,795359.3,1206109.5,525909.11,754252.34,1241833.3,266117.10,64091.14,926569.3,1002870.3,479434.6,479430.3,1123388.3,518.42,1884905.18,2003555.3,1577791.3,1435377.6,583355.3,1915863.3,2023178.18,349741.6,436308.17,2597224.3,374847.13,2067454.3,489703.3,379066.3,203907.6,481448.7,272844.11,444157.8,1945871.3,415426.13,1437881.3,126741.4,166793.3,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	2490941.3,557993.3,583355.3,1882918.15,1737569.3,349741.6,2597224.3,210.5028,157176.8,2067454.3,1647103.3,489703.3,1946934.3,379066.3,59196.3,203907.6,1206109.5,525909.11,137778.5,481448.7,754252.34,1241833.3,926569.3,1002870.3,1079.16,479430.3,1123388.3,518.42,1945871.3,454171.5,1437881.3,163164.29,166793.3,1884905.18,2003555.3,1560006.3,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	1121447.3,557993.3,1882918.15,2023178.18,436308.17,374847.13,210.5028,157176.8,263820.9,2067454.3,489703.3,379066.3,203907.6,795359.3,1206109.5,272844.11,1241833.3,266117.10,64091.14,479434.6,479430.3,126741.4,2003555.3,1577791.3,1435377.6,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	1121447.3,444157.8,64091.14,1882918.15,1915863.3,2023178.18,436308.17,374847.13,479434.6,479430.3,263820.9,1945871.3,2067454.3,415426.13,126741.4,2003555.3,795359.3,272844.11,1577791.3,679936.5,266117.10
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	557993.3,583355.3,2023178.18,436308.17,374847.13,210.5028,263820.9,525904.6,379066.3,59196.3,203907.6,795359.3,2024841.10,1206109.5,525909.11,272844.11,1241833.3,266117.10,444157.8,926569.3,1002870.3,479434.6,1123388.3,1945871.3,415426.13,454171.5,126741.4,166793.3,1560006.3,1946522.3,1435377.6,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,1737569.3,210.5028,157176.8,525904.6,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1241833.3,266117.10,64091.14,926569.3,1002870.3,479434.6,479430.3,1123388.3,518.42,454171.5,1884905.18,2003555.3,1560006.3,1577791.3,1435377.6,583355.3,1915863.3,2023178.18,349741.6,436308.17,374847.13,1647103.3,489703.3,1946934.3,379066.3,203907.6,272844.11,444157.8,1945871.3,415426.13,1437881.3,126741.4,166793.3,1548207.7,1946522.3,926550.5,1715285.3,679936.5
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	1121447.3,2490941.3,557993.3,1737569.3,210.5028,157176.8,525904.6,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1241833.3,266117.10,64091.14,926569.3,1002870.3,479434.6,479430.3,1123388.3,518.42,454171.5,1884905.18,2003555.3,1560006.3,1577791.3,1435377.6,583355.3,1915863.3,2023178.18,349741.6,436308.17,374847.13,1647103.3,489703.3,1946934.3,379066.3,203907.6,444157.8,1079.16,1945871.3,415426.13,1437881.3,166793.3,1548207.7,1946522.3,926550.5,1715285.3,679936.5
LSU ribosomal protein L2p (L8e)	SSU ribosomal protein S14p (S29e), zinc-independent	2490941.3,557993.3,247481.57,583355.3,2200854.3,2067454.3,36868.4,1408417.3,1647103.3,1947784.3,489703.3,190304.8,1946934.3,379066.3,59196.3,1749045.3,203907.6,2024841.10,1206109.5,428411.4,1241833.3,727.1550,1401685.3,1332188.3,1079.16,2601646.3,1437881.3,163164.29,1719125.3,1548207.7,37692.4,1972134.3,376620.10,1715285.3,1972133.3,295320.3
KH domain RNA binding protein YlqC	Signal recognition particle protein Ffh	1121447.3,2183990.3,1491.958,1521403.3,572547.3,1946283.3,1970770.3,210.5028,673862.3,655811.4,159.151,1294039.3,1805053.3,796939.3,795359.3,1946251.3,525909.11,2702.133,754252.34,1121911.3,1947072.3,266117.10,608534.3,926569.3,2069310.3,41978.26,1002870.3,1260.19,1919250.3,479430.3,1123388.3,394503.7,454171.5,938289.3,126741.4,166793.3,1884905.18,2003555.3,1946798.3,926550.5
Adenylate kinase (EC 2.7.4.3)	Methionine aminopeptidase (EC 3.4.11.18)	2183990.3,572547.3,157176.8,309798.4,525904.6,1408417.3,1432327.4,1609969.5,2099.43,521095.6,795359.3,525909.11,1306947.3,754252.34,1121911.3,1961371.3,266117.10,608534.3,28227.8,926569.3,2069310.3,41978.26,445932.6,1002870.3,479434.6,479430.3,1123388.3,394503.7,454171.5,1884905.18,2003555.3,1560006.3,1946798.3,1491.958,349741.6,1946283.3,2597224.3,673862.3,1408281.4,190304.8,379066.3,796939.3,1946251.3,1947072.3,1332188.3,1919250.3,1946294.3,126741.4,166793.3,59620.1701,1946522.3,926550.5,243273.25,2100.35,295596.4,679936.5
Adenosylcobinamide kinase (EC 2.7.1.156)	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	1737569.3,349741.6,479430.3,157176.8,394503.7,454171.5,1437881.3,1647103.3,489703.3,190304.8,1560006.3,1121911.3,1947072.3,266117.10
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	557993.3,1882918.15,2597224.3,210.5028,157176.8,2067454.3,489703.3,379066.3,59196.3,203907.6,1206109.5,525909.11,754252.34,1241833.3,926569.3,1002870.3,479430.3,1123388.3,518.42,1437881.3,1391995.3,166793.3,1884905.18,1560006.3,1946522.3,926550.5,1715285.3,679936.5
